Gavriil,Optimal Acoustic Reverberation Evaluation of Byzantine Chanting in Churches,"['Mourjopoulos, John', ' Papadakos, Charalambos', ' Kamaris, Gavriil', ' Chryssochoidis, Georgios', ' Kouroupetoglou, Georgios']"
Li-Fan,Resolving Octave Ambiguities: A Cross-dataset Investigation,"['Su, Li', ' Yu, Li-Fan', ' Yang, Yi-Hsuan', ' Lai, Hsin-Yu']"
Hsin-Yu,Resolving Octave Ambiguities: A Cross-dataset Investigation,"['Su, Li', ' Yu, Li-Fan', ' Yang, Yi-Hsuan', ' Lai, Hsin-Yu']"
Chuck-jee,"Timbre Features and Music Emotion in Plucked String, Mallet Percussion, and Keyboard Tones","['Chau, Chuck-jee', ' Wu, Bin', ' Horner, Andrew']"
Gopala,Corpora for Music Information Research in Indian Art Music,"['Srinivasamurthy, Ajay', ' Krishna Koduri, Gopala', ' Gulati, Sankalp', ' Ishwar, Vignesh', ' Serra, Xavier']"
Diemo,Fine-tuned Control of Concatenative Synthesis with CATART Using the BACH Library for MAX,"['Einbond, Aaron', ' Trapani, Christopher', ' Agostini, Andrea', ' Ghisi, Daniele', ' Schwarz, Diemo']"
Hélianthe,Modulus p Rhythmic Tiling Canons and some implementations in Open Music visual programming language,"['Caure, H\xc3\xa9lianthe', ' Agon, Carlos', ' Andreatta, Moreno']"
Germán,Spatialization Symbolic Music Notation at ICST,"['Ellberger, Emile', ' Toro Perez, Germ\xc3\xa1n', ' Schuett, Johannes', ' Zoia, Giorgio', ' Cavaliero, Linda']"
Nobutaka,"Merged-Output Hidden Markov Model for Score Following of MIDI Performance with Ornaments, Desynchronized Voices, Repeats and Skips","['Nakamura, Eita', ' Ono, Nobutaka', ' Saito, Yasuyuki', ' Sagayama, Shigeki']"
Kouhei,METHOD TO DETECT GTTM LOCAL GROUPING BOUNDARIES BASED ON CLUSTERING AND STATISTICAL LEARNING,"['Kanamori, Kouhei', ' Hamanaka, Masatoshi', ' Hoshino, Junichi']"
Jaeseong,Towards Soundscape Information Retrieval (SIR),"['Park, Tae Hong', ' Lee, Jun Hee', ' You, Jaeseong', ' Yoo, Min-Joon', ' Turner, John']"
Min-Joon,Towards Soundscape Information Retrieval (SIR),"['Park, Tae Hong', ' Lee, Jun Hee', ' You, Jaeseong', ' Yoo, Min-Joon', ' Turner, John']"
