,AllAuthors,FirstName1stAuthor,Gender,Place,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
19,"Law, Vanissa; Paine, Garth",Vanissa,None,USA,2015,2,Audio Collage as an Instrument for Musical Expression: Combining Freehand and Tangible Controllers,ICMC,Garth,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,,,,,,,,,,,,,,,
20,"Brown, Courtney; Paine, Garth",Courtney,female,USA,2015,2,Towards an Interactive Argentine Tango Milonga,ICMC,Garth,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,1.0,,,,,,,,,,,,,,,
21,"Bertrand, Thibault; Kaczmarek, Konrad; Wilen, Larry",Thibault,male,USA,2015,3,Musical Acoustics & Instrument Design: When Engineering Meets Music,ICMC,Konrad,male,Larry,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,1.0,1.0,,,,,,,,,,,,,,
22,"Çamcı,  Anıl; Özcan, Zeynep; Pehlevan, Damla",Anıl,male,USA,2015,3,Interactive Virtual Soundscapes: A Research Report,ICMC,Zeynep,female,Damla,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,1.0,0.95,,,,,,,,,,,,,,
23,"Hamilton, Rob",Rob,male,USA,2015,1,"Measuring the Effectiveness of Sonified Crossmodal Attribute Pairings Using Contour Matching, Symmetry and Perceived Similarity",ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,
24,"González, Marie; de la Cuadra, Patricio; F. Cadiz, Rodrigo",Marie,female,USA,2015,3,Fuzzy Equalization of Musical Genres,ICMC,Patricio,male,Rodrigo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,1.0,,,,,,,,,,,,,,
25,"Chau, Chuck-jee; Wu, Bin; Horner, Andrew",Chuck-jee,None,USA,2015,3,The Effects of Early-Release on Emotion Characteristics and Timbre in Non-Sustaining Musical Instrument Tones,ICMC,Bin,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0.89,1.0,,,,,,,,,,,,,,
26,"Shafer, Seth",Seth,male,USA,2015,1,VizScore: An On-Screen Notation Delivery System for Live Performance,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
27,"Geers, Douglas; R. Nelson, Nicholas; Wierenga, Red",Douglas,male,USA,2015,3,Brooklyn College Center for Computer Music,ICMC,Nicholas,male,Red,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.67,,,,,,,,,,,,,,
28,"You, Jaesong; Telichan, Andrew; Musick, Michael; Hong Park, Tae",Jaesong,None,USA,2015,4,Studio Report 2015: New York University (NYU) Music Technology Program,ICMC,Andrew,male,Michael,male,Tae,male,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,1.0,0.57,,,,,,,,,,,,,
