Gender1F,Gender1M,Place,Year,NumberOfAuthors,Conference,Gender2F,Gender2M,Gender3F,Gender3M,Gender4F,Gender4M,Gender5F,Gender5M,Gender6F,Gender6M,Gender7F,Gender7M,Gender8F,Gender8M,Gender9F,Gender9M,Gender10F,Gender10M,Gender11F,Gender11M,Gender12F,Gender12M,Gender13F,Gender13M,Gender14F,Gender14M,Gender15F,Gender15M,Gender16F,Gender16M,Gender17F,Gender17M,Gender1None,Gender2None,Gender3None,Gender4None,Gender5None,Gender6None,Gender7None,Gender8None,Gender9None,Gender10None,Gender11None,Gender12None,Gender13None,Gender14None,Gender15None,Gender16None,Gender17None,AllAuthors,Title
0,1,Copenhagen  Denmark,2017,2,NIME,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Rikard Lindell' 'Tomas Kumlin'],Augmented Embodied Performance – Extended Artistic Room   Enacted Teacher   and Humanisation of Technology
0,1,Copenhagen  Denmark,2017,2,NIME,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Jens Vetter' 'Sarah Leimcke'],Homo Restis --- Constructive Control Through Modular String Topologies
0,1,Copenhagen  Denmark,2017,3,NIME,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Jeronimo Barbosa' 'Marcelo M. Wanderley' 'Stéphane Huot'],Exploring Playfulness in NIME Design: The Case of Live Looping Tools
0,1,Copenhagen  Denmark,2017,2,NIME,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Daniel Manesh' 'Eran Egozy'],Exquisite Score: A System for Collaborative Musical Composition
0,1,Copenhagen  Denmark,2017,4,NIME,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Stahl Stenslie' 'Kjell Tore Innervik' 'Ivar Frounberg' 'Thom Johansen'],Somatic Sound in Performative Contexts
0,1,Copenhagen  Denmark,2017,2,NIME,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Jeppe Veirum Larsen' 'Hendrik Knoche'],States and Sound: Modelling Interactions with Musical User Interfaces
0,1,Copenhagen  Denmark,2017,2,NIME,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Guangyu Xia' 'Roger Dannenberg'],Improvised Duet Interaction: Learning Improvisation Techniques for Automatic Accompaniment
0,1,Copenhagen  Denmark,2017,1,NIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Palle Dahlstedt'],Physical Interactions with Digital Strings --- A hybrid approach to a digital keyboard instrument
0,1,Copenhagen  Denmark,2017,2,NIME,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Charles Roberts' 'Graham Wakefield'],gibberwocky: New Live-Coding Instruments for Musical Performance
1,0,Copenhagen  Denmark,2017,1,NIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Sasha Leitman'],Current Iteration of a Course on Physical Interaction Design for Music
