Gender1Female,Place,Year,NumberOfAuthors,Conference,,Gender2,,Gender3,,Gender4,,Gender5,,Gender6,,Gender7,,Gender8,,Gender9,,Gender10,,Gender11,,Gender12,,Gender13,,Gender14,,Gender15,,Gender16,,Gender17,Gender1None,Gender2None,Gender3None,Gender4None,Gender5None,Gender6None,Gender7None,Gender8None,Gender9None,Gender10None,Gender11None,Gender12None,Gender13None,Gender14None,Gender15None,Gender16None,Gender17None,AllAuthors,FirstName1stAuthor,Title
male,USA,2015,3,ICMC,,female,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"_œ_°amc_‚Â±,  An_‚Â±l; _œ_ zcan, Zeynep; Pehlevan, Damla",An_‚Â±l,Interactive Virtual Soundscapes: A Research Report
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Hamilton, Rob",Rob,"Measuring the Effectiveness of Sonified Crossmodal Attribute Pairings Using Contour Matching, Symmetry and Perceived Similarity"
female,USA,2015,3,ICMC,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"Gonz_œ_‘lez, Marie; de la Cuadra, Patricio; F. Cadiz, Rodrigo",Marie,Fuzzy Equalization of Musical Genres
male,USA,2015,3,ICMC,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"Chau, Chuck-jee; Wu, Bin; Horner, Andrew",Chuck-jee,The Effects of Early-Release on Emotion Characteristics and Timbre in Non-Sustaining Musical Instrument Tones
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Shafer, Seth",Seth,VizScore: An On-Screen Notation Delivery System for Live Performance
male,USA,2015,3,ICMC,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"Geers, Douglas; R. Nelson, Nicholas; Wierenga, Red",Douglas,Brooklyn College Center for Computer Music
male,USA,2015,4,ICMC,,male,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,"You, Jaesong; Telichan, Andrew; Musick, Michael; Hong Park, Tae",Jaesong,Studio Report 2015: New York University (NYU) Music Technology Program
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Ballora, Mark",Mark,Studio Report: Music Technology at the Pennsylvania State University
male,USA,2015,5,ICMC,,male,,male,,male,,female,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,"Wright,  Geoffrey; Boyle,  McGregor; Armenta, Joshua; Woodward, Ryan; Xia, Sunhuimei",Geoffrey,Peabody Computer Music: 46 Years of Looking to the Future
male,USA,2015,2,ICMC,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,"Paine, Garth; Moon, Barry",Garth,Studio Report: Arizona State University
male,USA,2015,2,ICMC,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,"Kuivila, Ron; Matthusen, Paula",Ron,Wesleyan University Electronic Music Studios Report
male,USA,2015,2,ICMC,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,"Blokkum Fl_œÑŒ, Asbj_œÑŒrn; Wilmers, Hans",Asbj_œÑŒrn,The Intrinsic Value of Timbre in Doppelganger
female,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Soria-Luz, Rosalia",Rosalia,State Space Models: Virtual World for Composition
female,USA,2015,2,ICMC,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,"Hsu, Jennifer; Smyth, Tamara",Jennifer,Specifying Sounding Frequency of a Voice Model during Live Interactive Saxophone Performance
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Mooore, Adrian",Adrian,Cross-Modality in Multi-Channel Acousmatic Music: The Physical and Virtual in Music Where There Is Nothing to See
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Nystr_œÂ_m, Erik",Erik,Low-Level Topology of Spatial Texture
male,USA,2015,3,ICMC,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"You, Jaeseong; Telichan, Andrew; Hong Park, Tae",Jaeseong,Developing a Socio-Historical Model for Electro-Acoustic Music Analysis: The Challenge from an Adornian Perspective
