AllAuthors,FirstName1stAuthor,Gender,Place,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
"['Veinberg, Anne', ' Noriega, Felipe Ignacio']",Anne,female,South Korea,2018,2,Coding With a Piano: the First Phase of the Codeklavier's Development,ICMC,Ignacio,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.99,,,,,,,,,,,,,,,,
"['Fasciani, Stefano']",Stefano,male,South Korea,2018,1,Spectral Granular Synthesis,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Dannenberg, Roger B.']",Roger,male,South Korea,2018,1,UGG: a Unit Generator Generator,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Choi, Hongchan']",Hongchan,male,South Korea,2018,1,Audioworklet: the Future of Web Audio,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,
"['Nyström, Erik']",Erik,male,South Korea,2018,1,Topographic Synthesis: Parameter Distribution in Spatial Texture,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Lemouton, Serge', ' Bonardi, Alain', ' Pottier, Laurent', ' Warnier, Jacques']",Serge,male,South Korea,2018,4,"Electronic Music Documentations, Practices and Models",ICMC,Alain,male,Laurent,male,Jacques,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.98,,,,,,,,,,,,,,
"['Bukvic, Ivica Ico', ' Ogier, Andrea L.']",Ivica,male,South Korea,2018,2,Compel: a Crowdsourced Community-building Repository for Reproducible Computer Music,ICMC,Andrea,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.62,,,,,,,,,,,,,,,,
"['Dahan, Kevin']",Kevin,male,South Korea,2018,1,(Re)discovering Sounds of CCRMA - Towards Computer Music Preservation,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Park, Tae Hong', ' Underwood, Kent']",Hong,male,South Korea,2018,2,The Electro-acoustic Music Mine (EAMM): an Initiative for the Archival Preservation of Electro-acoustic Music,ICMC,Kent,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.98,,,,,,,,,,,,,,,,
"['Garbet, Brian']",Brian,male,South Korea,2018,1,Sustainability of Compositions Involving Electronic Technology: Part I – in Conversation With Alcides Lanza,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Park, Sihwa']",Sihwa,female,South Korea,2018,1,Behave: a Heatmap-based Audiovisual Representation of Personal Data,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"['Carson, Tate']",Tate,male,South Korea,2018,1,Philosophical Underpinnings of Environmental Music,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,
"['Faruqi, Shuraifa Asmah Shad Saleem', ' Park, Tae Hong']",Shuraifa,None,South Korea,2018,2,"Urban Soundscape: Analyzing Spatiotemporal Patterns of Acoustic Events and Soundscape Components, and Its Influence on the Socioeconomic Status of New York City Neighborhoods",ICMC,Hong,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.65,,,,,,,,,,,,,,,,
"['Park, Tae Hong', ' Yoo, Minjoon']",Hong,male,South Korea,2018,2,Citygram One: Seven Years Later,ICMC,Minjoon,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,1.0,,,,,,,,,,,,,,,,
"['Garcia, Hugo Solis']",Solis,male,South Korea,2018,1,Sonode; a Collaborative Sound Map of Mexico City,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,
"['Liu, Tsung-Ching', ' Lin, Wan Tin']",Tsung-Ching,None,South Korea,2018,2,The Tuning and Synthesis Issue of the Ancient Chinese Chime-bells Instrument From the Tomb of Marquis Yi of the Zeng State,ICMC,Wan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.51,,,,,,,,,,,,,,,,
"['Rudi, Jøran']",Jøran,male,South Korea,2018,1,The Contributions of Computer Music Pioneer Knut Wiggen,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"['Sigman, Alexander']",Alexander,male,South Korea,2018,1,The Aesthetics of Robot Opera: Human-centric or Mechanized Eccentric?,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Volker, Mark']",Mark,male,South Korea,2018,1,Voice in Electronic Music: Handling Limitations in Stockhausen’s Gesang Der Jünglinge and Lansky’s Six Fantasies,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Blandino, Michael']",Michael,male,South Korea,2018,1,Inherent Meanings From the Environmental Impacts of the Production and Performance of Electronic Music,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Stolet, Jeffrey']",Jeffrey,male,South Korea,2018,1,University of Oregon – Future Music Oregon 2018 Studio Report,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Parkinson, Carol']",Carol,female,South Korea,2018,1,Harvestworks Digital Media Arts Center,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,
"['Nam, Sangbong', ' Lee, Gang Seong', ' Ko, Pyoung Ryang', ' Ko, Byongoh', ' Cho, Jinok', ' Lee, Donoung']",Sangbong,male,South Korea,2018,6,Center for Arts and Technologies at Seoul National University,ICMC,Seong,male,Pyoung,male,Byongoh,None,Jinok,female,Donoung,None,,,,,,,,,,,,,,,,,,,,,,,0.88,0.85,0.91,0.0,0.69,0.0,,,,,,,,,,,,
"['Cho, Jinok', ' Lee, Donoung']",Jinok,female,South Korea,2018,2,Studio Report: KEAMS,ICMC,Donoung,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.0,,,,,,,,,,,,,,,,
"['Park, Jonghwa', ' Lee, Sungeun']",Jonghwa,male,South Korea,2018,2,Do People With Absolute Pitch Really Produce the P300 Response When Processing Tones?,ICMC,Sungeun,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.62,,,,,,,,,,,,,,,,
"['Mo, Ronald K.', ' So, Richard H. Y.', ' Horner, Andrew']",Ronald,male,South Korea,2018,3,Investigating How Convolution Reverberation Effects the Space of Instrument Emotional Characteristics,ICMC,Richard,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
"['Chang, Bing Yen', ' Horner, Andrew']",Bing,male,South Korea,2018,2,"The Effects of Pitch, Dynamics, and Vowel on the Emotional Characteristics of The Soprano Voice",ICMC,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.99,,,,,,,,,,,,,,,,
"['Gentilucci, Marta', ' Ardaillon, Luc', ' Liuni, Marco']",Marta,female,South Korea,2018,3,Vocal Distortion and Real-Time Processing of Roughness,ICMC,Luc,male,Marco,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.97,0.99,,,,,,,,,,,,,,,
"['Döbereiner, Luc']",Luc,male,South Korea,2018,1,OBOEJS: a Constraint-based Approach to Instrument-specific Algorithmic Composition,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,
"['Paoli, Ken']",Ken,male,South Korea,2018,1,Phil Winsor's Myst: Research and Art – a Technical and Aesthetic Consideration,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
