Gender,Place,Year,NumberOfAuthors,Conference,Gender2,Gender3,Gender4,Gender5,Gender6,Gender7,Gender8,Gender9,Gender10,Gender11,Gender12,Gender13,Gender14,Gender15,Gender16,Gender17
male,Italy,2005,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Italy,2005,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Italy,2005,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Italy,2005,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Italy,2005,6,SMC,male,male,male,female,male,null,null,null,null,null,null,null,null,null,null,null
female,Italy,2005,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Italy,2005,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Italy,2005,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Italy,2005,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Italy,2005,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Italy,2005,4,SMC,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Italy,2005,4,SMC,male,female,male,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Italy,2005,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Italy,2005,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Italy,2005,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Italy,2005,2,SMC,female,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Italy,2005,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,4,SMC,male,female,male,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,France,2006,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,4,SMC,male,female,male,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,2,SMC,female,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,5,SMC,male,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,France,2006,4,SMC,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,2,SMC,female,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,France,2006,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,France,2006,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,3,SMC,female,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Greece,2007,2,SMC,female,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,3,SMC,female,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,4,SMC,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,3,SMC,female,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,3,SMC,male,female,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Greece,2007,2,SMC,female,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
None,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Greece,2007,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,3,SMC,male,female,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,3,SMC,female,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,5,SMC,male,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,female,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,9,SMC,male,male,male,male,male,female,female,male,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,4,SMC,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Greece,2007,4,SMC,female,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Germany,2008,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Germany,2008,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Germany,2008,4,SMC,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Germany,2008,2,SMC,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Germany,2008,3,SMC,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null,null
female,Germany,2008,4,SMC,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Germany,2008,4,SMC,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Germany,2008,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Germany,2008,4,SMC,male,male,male,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Germany,2008,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
male,Germany,2008,1,SMC,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
