Title;Author(s);Year;Country
A Head-to-Head Comparison of the Emotional Characteristics of the Violin and Erhu on the Butterfly Lovers Concerto;"Dustin LEE;Wenyi SONG;Andrew HORNER";2021;Chile
Digging it: Programmatic Data Mining as Musicking;"Pierre Alexandre Tremblay;Gerard Roma;Owen Green";2021;Chile
SonicDraw: a web-based tool for sketching sounds and drawings;"Teodoro Dannemann;Mathieu Barthet";2021;Chile
“Machinatuosity”: Virtual Strings, Spectral Filters and Temperament Tools for ‘Esquisse’;Richard Dudas;2021;Chile
Converge/Diverge: Collaborative Emergence in a Composition for Piano, Double Bass and Interactive Music System.;Artemi-Maria Gioti;2021;Chile
Generative Music using reactive Programming;"Petit Bertrand ( INRIA );Manuel Serrano (INRIA)";2021;Chile
QuBits, a System for Interactive Sonic Virtual Reality;"Jon Kulpa;Edmund Campion;Carmine Cella";2021;Chile
A Ratio-based Interface for Musical Control of an Iterated Function System;Oliver Hancock;2021;Chile
Incorporating Playing Techniques Generation into Style-Specific Symbolic Music Generation;"Yifan Xie;Rongfeng Li";2021;Chile
Current Activism Trends in Sound Art and Electroacoustic Music in Mexico and Colombia;"Juan Carlos Vasquez;Omar Fraire";2021;Chile
Vocabulary ruts in Mixed Music – multifarious terms with many ascriptions;Miriam Akkermann;2021;Chile
Reconfiguring Instrumental Performance in Perú: Ensamble de Laptops de la Universidad Nacional de Música - ELUNM;José Ignacio López Ramírez Gastón;2021;Chile
The Soundscaper: A Tool for Soundscape Re-Synthesis;"Tae Hong Park;Scott Murakami";2021;Chile
The Expanding Universe of Poetic Voice;Sachi Tanihara;2021;Chile
Emulating the Comdasuar;Diego de la Fuente Curaqueo;2021;Chile
Aural Weather Etude: Installing Atmosphere;Vesa Norilo - Josué Moreno;2021;Chile
Predicting and Critiquing Machine Virtuosity: Mawwal Accompaniment as Case Study;"Fadi M. Al-Ghawanmeh;Melissa J. Scott;Mohamed-Amine Menacer;Kamel Smaili";2021;Chile
Acoustic Control using the Internet of Things: Introducing the Concept of a Socially Responsible Noise Source;Edgar Berdahl;2021;Chile
Der Hörweg / The Listening Path: Augmenting Acoustic Ecology for a Rural Community;Sabine Breitsameter;2021;Chile
Moving Along Sound Spectra: An Experiment with Feedback Loop Topologies and Audible Ecosystems;Ricardo Thomasi & Regis Rossi A. Faria;2021;Chile
High-Performance Tools to Generate and Visualize a Sonic Time-Lapse;"Diego Espejo;Victor Poblete;Felipe Otondo;Pablo Huijse";2021;Chile
Network Modulation Synthesis: New Algorithms for Generating Musical Audio Using Autoencoder Networks;Jeremy Hyrkas;2021;Chile
Neural Granular Sound Synthesis;"Adrien Bitton;Philippe Esling;Tatsuya Harada";2021;Chile
AMI - Creating Coherent Musical Composition with Attention;"Ning Ma;Guy Brown;Paolo Vecchiotti";2021;Chile
A Foundations-of-Computation Approach to Formalizing Musical Analysis;Halley Young;2021;Chile
Songrium RelayPlay: A Web-based Listening Interface for Continuously Playing User-generated Music Videos of the Same Song with Different Singers;"Masahiro Hamasaki;Keisuke Ishida;Tomoyasu Nakano;Masataka Goto";2021;Chile
OrchideaSOL: a dataset of extended instrumental techniques for computer-aided orchestration;"Carmine-Emanuele Cella;Daniele Ghisi;Vincent Lostanlen;Fabien Lévy;Joshua Fineberg;Yan Maresz";2021;Chile
The Real-time Synthesis of the Ancient Chinese ChimeBells Instrument of Marquis Yi in Max/MSP Using FZARMA Model;Tsung-Ching Liu;2021;Chile
MusicHastie: field based hierarchical music representation;Charles Fox;2021;Chile
InFracta: the Body as an Augmented Instrument in a Collaborative, Multi-Modal Piece;"Thales Roel Pessanha;Thiago Roque;Guilherme Zanchetta;Lucas Pereira:Gabrielly de Oliveira;Bruna Pinheiro;Renata Paulino;Tiago Tavares";2021;Chile
Conjunction of aesthetics through computer music techniques in the acousmatic piece 'Sheffield 17';Alejandro Albornoz;2021;Chile
Autoethnography and Emotional Exposure as an Approach for Electroacoustic Music Composition;"Becky Brown;Juan Carlos Vasquez";2021;Chile
LazyVoice: A multi-agent approach to fluid voice leading;"Cale Plut;Philippe Pasquier";2021;Chile
An Experiential Course on Creative Sound Design;"Franco Lau;Bing Yen Chang;Yu Hong;Chuck Jee Chau;Beatrice Chu;Phoebe Mok;Giovanna Tang;Derek Siu Yuen Lam;Andrew Horner";2021;Chile
CCM Center for Computer Music Studio 2021;"Mara Helmuth;Yunze Mu;Grace Choi";2021;Chile
Disperf: A Platform for Telematic Music Concert Production;"Michael Palumbo;Doug Van Nort;Rory Hoy";2021;Chile
Space Control: A New Software Application for Intuitive Sound Spatialization;"Raphael Radna;João Oliveira";2021;Chile
