,AllAuthors,FirstName1stAuthor,Gender,Place,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
21,Yoichi Nagashima,Yoichi,male,Netherlands,2016,1,54 Bio-Sensing and Bio-Feedback Instruments --- DoubleMyo; MuseOSC and MRTI2015 ---,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
22,Christoph Theiler; Renate Pittroff ,Christoph,male,Netherlands,2016,2,60 Fluid Control - Media Evolution In Water,ICMC,Renate,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
23,Takayuki Hamano; Tsuyoshi Kawamura; Ryu Nakagawa; Kiyoshi Furukawa,Takayuki,male,Netherlands,2016,4,63 “MUCCA”: an Integrated Educational Platform for Generative Artwork and Collaborative,ICMC,Tsuyoshi,male,Ryu,male,Kiyoshi,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.91,0.89,,,,,,,,,,,,,
24,Benjamin D. Smith,Benjamin,male,Netherlands,2016,1,67 Electro Contra: Innovation for Tradition,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
25,Morgan Jenks,Morgan,female,Netherlands,2016,1,71 Honeybadger and LR.step: A Versitile Drum Sequencer DMI,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,
26,Augoustinos Tsiros; Grégory Leplâtre,Augoustinos,male,Netherlands,2016,2,74 EVALUATING A SKETCHING INTERFACE FOR INTERACTION WITH CONCATENATIVE SYNTHESIS,ICMC,Grégory,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
27,Ulrike Mayer-Spohn; Keitaro Takahashi,Ulrike,female,Netherlands,2016,2,79 Recorderology - development of a web based instrumentation tool concerning recorder  instruments,ICMC,Keitaro,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
28,Jonathon Kirk; Lee Weisert,Jonathon,male,Netherlands,2016,2,149 Granular Wall: approaches to sonifying fluid motion,ICMC,Lee,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.75,,,,,,,,,,,,,,,
29,Tom Erbe,Tom,male,Netherlands,2016,1,154 The Computer Realization of John Cage’s Williams Mix,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
30,Andrea Salgian; David Vickerman,Andrea,female,Netherlands,2016,2,159 Computer-Based Tutoring for Conducting Students,ICMC,David,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,1.0,,,,,,,,,,,,,,,
